-------------------- 12万以下 --------------------
id	src_id	name	guide_price	user_score	preserve_range	preserve_mean	cat_name	grade	engine	charge_fast	charge_slow	mileag	index_url	energy_type	max_power	max_torque	oil_wear	max_horse	max_speed	office_acc_time	battery_capacity	wordmouth_num	yiche_score	pc_score	score
205	2678	沃尔沃(进口)-沃尔沃V40	23.09-28.99	4.88	35.780000-59.140000	45.798	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/2678/#pvareaid=2042208	汽油	112.0	250.0	5.7	152.0	210.0	8.3	0	3	4.59	51.1	0.17517234409804225
29	3170	一汽-大众奥迪-奥迪A3	19.10-25.62	4.39	49.860000-75.030000	61.964	轿车	紧凑型车	1.4	0	0	0	//www.autohome.com.cn/3170/#pvareaid=2042208	汽油	110.0	250.0	5.8	150.0	200.0	8.4	0	18	0	50.8	0.17510133678186685
34	3462	广汽丰田-雷凌	10.98-16.18	4.46	50.330000-74.870000	62.426	轿车	紧凑型车	1.8	0	0	0	//www.autohome.com.cn/3462/#pvareaid=2042208	汽油	85.0	185.0	4.2	116.0	0	0	0	213	4.64	66.1	0.17455403635278344
38	4171	华晨宝马-宝马1系	19.98-31.78	4.5	44.740000-70.810000	57.022	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4171/#pvareaid=2042208	汽油	100.0	220.0	6.4	136.0	212.0	9.4	0	2	4.7	47.8	0.17146990313887361
153	3941	华晨宝马-宝马2系旅行车	22.48-29.48	4.25	43.330000-66.280000	54.472	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/3941/#pvareaid=2042208	汽油	100.0	220.0	5.9	136.0	205.0	9.4	0	9	4.69	71.1	0.17082232424849642
294	3963	长安标致雪铁龙-DS 4S	17.19-22.99	4.35	26.930000-54.250000	38.546	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/3963/#pvareaid=2042208	汽油	123.0	240.0	6.3	167.0	207.0	9.6	0	8	4.82	51.8	0.16868521903990769
218	2974	观致汽车-观致3	9.89-15.39	4.56	32.000000-55.500000	41.956	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/2974/#pvareaid=2042208	汽油	115.0	230.0	6.1	156.0	197.0	12.6	0	33	4.49	43.8	0.1686347735412419
15	448	东风日产-轩逸	9.98-16.15	4.27	46.570000-73.680000	60.47	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/448/#pvareaid=2042208	汽油	91.0	153.0	6.3	124.0	185.0	11.8	0	93	4.36	0	0.1674011532496661
20	364	长安福特-福克斯	9.98-16.58	4.46	41.130000-65.410000	51.992	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/364/#pvareaid=2042208	汽油	92.0	153.0	5.4	125.0	191.0	12.7	0	118	4.25	72.7	0.1650984716396779
18	633	一汽-大众-宝来	10.78-15.98	4.29	44.310000-72.280000	57.558	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/633/#pvareaid=2042208	汽油	85.0	150.0	5.5	116.0	185.0	12.6	0	105	4.57	71.3	0.16489807230979203
114	3817	东风日产-LANNIA 蓝鸟	10.59-14.64	4.24	43.760000-67.530000	55.092	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/3817/#pvareaid=2042208	汽油	93.0	154.0	6.0	126.0	190.0	11.7	0	6	4.58	66.0	0.1648311042379355
